0,paragraph,0
SECTION
0,emotion,0
0.090,emotion,4
3.630,emotion,4
8.330,emotion,4
10.550,emotion,4
12.640,emotion,4
16.210,emotion,4
18.980,emotion,4
22.640,emotion,4
SECTION
0,image,0
3.630,image,1
8.330,image,2
10.550,image,3
12.640,image,4
16.210,image,5
18.980,image,6
22.640,image,7
SECTION
0.000,pose,3
1.820,pose,0
3.630,pose,4
3.820,pose,1
8.330,pose,2
10.550,pose,3
11.270,pose,1
12.640,pose,4
13.090,pose,3
14.070,pose,1
16.210,pose,4
16.650,pose,3
18.980,pose,0
22.640,pose,1
25.290,pose,4
SECTION
0,phoneme,m
0.090,phoneme,u
0.160,phoneme,a
0.185,phoneme,y
0.210,phoneme,a
0.280,phoneme,t
0.330,phoneme,m
0.410,phoneme,a
0.450,phoneme,y
0.490,phoneme,t
0.560,phoneme,u
0.640,phoneme,a
0.675,phoneme,y
0.710,phoneme,t
0.830,phoneme,u
0.910,phoneme,t
1.050,phoneme,a
1.105,phoneme,u
1.160,phoneme,f
1.340,phoneme,a
1.580,phoneme,t
1.820,phoneme,a
1.900,phoneme,t
1.980,phoneme,m
2.070,phoneme,y
2.100,phoneme,a
2.125,phoneme,y
2.150,phoneme,t
2.230,phoneme,m
2.280,phoneme,a
2.340,phoneme,y
2.410,phoneme,t
2.530,phoneme,a
2.700,phoneme,t
3.630,phoneme,u
3.700,phoneme,a
3.750,phoneme,y
3.820,phoneme,a
3.860,phoneme,m
3.940,phoneme,a
4.030,phoneme,t
4.100,phoneme,a
4.160,phoneme,t
4.330,phoneme,a
4.390,phoneme,t
4.430,phoneme,a
4.465,phoneme,y
4.500,phoneme,t
4.540,phoneme,u
4.600,phoneme,a
4.635,phoneme,y
4.670,phoneme,t
4.760,phoneme,a
4.800,phoneme,f
4.870,phoneme,a
4.910,phoneme,y
4.950,phoneme,t
5.020,phoneme,y
5.030,phoneme,a
5.090,phoneme,t
5.160,phoneme,f
5.240,phoneme,a
5.260,phoneme,y
5.280,phoneme,f
5.330,phoneme,u
5.350,phoneme,a
5.400,phoneme,t
5.570,phoneme,u
5.695,phoneme,a
5.860,phoneme,t
5.920,phoneme,a
6.090,phoneme,t
6.200,phoneme,a
6.270,phoneme,u
6.280,phoneme,t
6.340,phoneme,a
6.390,phoneme,t
6.460,phoneme,m
6.560,phoneme,a
6.620,phoneme,y
6.760,phoneme,a
6.790,phoneme,f
6.860,phoneme,y
6.930,phoneme,a
7.030,phoneme,u
7.100,phoneme,t
7.150,phoneme,m
7.210,phoneme,a
7.260,phoneme,y
7.380,phoneme,t
8.330,phoneme,t
8.380,phoneme,a
8.430,phoneme,t
8.480,phoneme,a
8.510,phoneme,y
8.540,phoneme,t
8.640,phoneme,a
8.690,phoneme,u
8.710,phoneme,t
8.820,phoneme,m
8.880,phoneme,a
8.905,phoneme,y
8.930,phoneme,a
