148.6,107.1,1.0,1.0,0.0
176.7,123.1,-0.5,1.0,0.0
184.1,121.0,1.0,1.0,0.0
227.2,197.5,-1.0,0.912,7.0
148.6,107.1,1.0,1.0,0.0
148.6,107.1,1.0,1.0,0.0
176.7,123.1,-0.5,1.0,0.0
184.1,121.0,1.0,1.0,0.0
227.2,197.5,-1.0,0.912,7.0
184.1,121.0,1.0,1.0,0.0
115.2,221.7,1.0,0.944,-19
161.6,146.2,1.0,1.0,20.2
153.2,180.6,-1.0,1.0,0.0
135.9,162.3,1.0,0.926,8.0
177.8,173.7,1.0,1.0,0.0
146.9,160.9,1.0,1.0,-5.6
162.2,141.4,1.0,1.0,10.0
134.3,145.7,1.0,1.0,-18.0
158.4,156.7,1.0,0.907,6.8
204.6,170.1,-1.0,1.0,0.0
220.4,140.9,0.5,0.5,0.0
159.9,169.8,1.0,1.0,10.7
178.9,152.5,-1.0,1.0,-12.2
171.7,159.9,1.0,1.0,6.4
143.2,171.2,1.0,1.0,0.7
144.1,183.9,1.0,1.0,-14.3
120.0,183.8,1.0,1.0,0.7
148.8,184.4,1.0,1.0,5.9
184.3,157.3,1.0,1.0,2.7
125.3,179.1,0.769,0.994,9.5
